filename,rmse,nrmse_mean,nrmse_range
prediction bi-LSTM interpolacao-linear - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,19.233221467025793,0.02224831307672688,0.189676689800347
forecasting-values GRU svd - treated bbr esmond data ce-ro 07-03-2023_longest_interval.csv.csv,13.17258170065668,0.014403608184398505,0.11890835486991243
prediction GRU mediana-movel - treated bbr esmond data go-se 07-03-2023_longest_interval.csv.csv,12.982475662052197,0.014109053325158959,0.11676714877133297
forecasting-values LSTM svd - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,12.347311409551999,0.013470713483396781,0.1537232770868566
prediction GRU knn - treated bbr esmond data ba-pa 07-03-2023_longest_interval.csv.csv,21.60068460249957,0.024778651747308453,0.12461272258169745
prediction GRU interpolacao-linear - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,19.516107322277158,0.022575545469043487,0.1924664903913406
prediction bi-LSTM knn - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,40.24107234660642,0.047368399334891835,0.12257269647762048
prediction bi-LSTM knn - treated bbr esmond data rs-go 07-07-2023_longest_interval.csv.csv,13.326076684733597,0.015190507901436934,0.1099375551905551
prediction LSTM media-movel - treated bbr esmond data rs-pe 07-07-2023_longest_interval.csv.csv,512.894880676151,0.2707919864598549,0.1961059180264459
prediction LSTM interpolacao-linear - treated bbr esmond data pb-es 07-08-2023_longest_interval.csv.csv,29.666399666352223,0.03256753778833663,0.1301367097695124
prediction LSTM knn - treated bbr esmond data ce-am 07-03-2023_longest_interval.csv.csv,77.82746555885485,0.08841466457693421,0.11600748481302174
prediction bi-LSTM media-movel - treated bbr esmond data pb-ac 07-08-2023_longest_interval.csv.csv,41.43935841139904,0.04635010214990614,0.1676028333576276
prediction LSTM interpolacao-linear - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,20.169232483511756,0.023331057648339478,0.19890756521703662
