imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
knn,pr-pa,bbr,GRU,15.000120160437445,7.076570112672423,0.14866441637557978
knn,pr-pa,bbr,LSTM,15.414486116491675,7.454270209323977,0.15277114834597988
knn,rj-am,bbr,bi-LSTM,40.24107447302821,19.336534674897177,0.12257270295461618
knn,rj-am,bbr,GRU,39.14423282059754,18.505591412408176,0.11923176716171764
knn,rj-am,bbr,LSTM,40.31650003340774,20.078448432478222,0.12280244619404639
knn,rj-go,bbr,bi-LSTM,68.85924746649435,31.669740631304627,0.1504620934909043
knn,rj-go,bbr,GRU,69.2893778272214,31.3497086349264,0.1514019572990367
knn,rj-go,bbr,LSTM,71.14353374484814,32.3002210240671,0.1554534128593144
knn,ro-se,bbr,bi-LSTM,8.697639564518541,5.275751199292052,0.12366519711857155
knn,ro-se,bbr,GRU,8.448490484106197,4.903907507529578,0.12012273368207836
knn,ro-se,bbr,LSTM,8.772986004348164,5.238792994599048,0.12473649149270542
knn,rs-go,bbr,bi-LSTM,13.32607793950923,7.0610513163488795,0.10993756554221139
knn,rs-go,bbr,GRU,13.088597961466446,6.7836754630133305,0.10797840165546596
knn,rs-go,bbr,LSTM,13.326882543974671,7.033456307585793,0.10994420337342899
knn,rs-pe,bbr,bi-LSTM,396.9338623180597,256.0664471662518,0.15176809595574012
knn,rs-pe,bbr,GRU,390.9544024216075,247.19731811328094,0.14948184293104583
knn,rs-pe,bbr,LSTM,394.3363496546871,249.09004091226467,0.1507749341508017
knn,se-es,bbr,bi-LSTM,11.607078280921138,7.738895925176043,0.14450741959634553
knn,se-es,bbr,GRU,11.343513915214734,7.473843419921861,0.14122605925190942
knn,se-es,bbr,LSTM,11.461536654315593,7.611531134463017,0.14269543518514421
knn,to-ba,bbr,bi-LSTM,28.41116076173648,21.250420865495194,0.17116384103279977
knn,to-ba,bbr,GRU,28.0852064317342,21.310056822222826,0.16920011995880546
knn,to-ba,bbr,LSTM,28.30200665545756,21.26248051684659,0.17050623903434978
knn,to-rs,bbr,bi-LSTM,57.43626376863551,30.658165812855888,0.12774186428140794
knn,to-rs,bbr,GRU,56.41122082187934,28.62256177843494,0.12546210427622032
knn,to-rs,bbr,LSTM,57.33873526047378,29.710658523985945,0.12752495474315265
media-movel,ap-ba,bbr,bi-LSTM,35.33360762792083,22.48939059939882,0.18456021497142713
media-movel,ap-ba,bbr,GRU,34.95053748933018,22.056252599041198,0.18255930105762805
media-movel,ap-ba,bbr,LSTM,36.5968961856904,23.475224468869538,0.19115882811753163
media-movel,ba-go,bbr,bi-LSTM,20.685299967819915,15.433699562487554,0.2039969867840364
media-movel,ba-go,bbr,GRU,20.503077825558744,15.30556226459473,0.2021999247155897
media-movel,ba-go,bbr,LSTM,21.41890961174588,16.288921558278705,0.2112317939693044
media-movel,ba-pa,bbr,bi-LSTM,28.19296337041421,17.200983384839642,0.16264308228577376
media-movel,ba-pa,bbr,GRU,27.992836125910497,17.120053014791228,0.16148856328513547
media-movel,ba-pa,bbr,LSTM,29.535952682711425,18.56829508568141,0.17039068647902753
media-movel,ba-pe,bbr,bi-LSTM,623.3876170658689,459.9625795306518,0.1912050091832719
media-movel,ba-pe,bbr,GRU,630.6473275756848,466.66637866533483,0.1934317024583656
media-movel,ba-pe,bbr,LSTM,657.6289149625645,489.600497253033,0.201707475866201
media-movel,ce-am,bbr,bi-LSTM,89.81794495015107,54.84495786445698,0.13388016441139247
media-movel,ce-am,bbr,GRU,92.04345275573597,58.70455049892002,0.13719744528523017
media-movel,ce-am,bbr,LSTM,95.77366975439796,61.672235822286,0.14275760439762364
media-movel,ce-ro,bbr,bi-LSTM,15.111418346803063,9.434666895668533,0.1364101537726493
